artist_name,genre_name,source,confidence,source_url
Makasi,afro house,Wikidata SPARQL P136,structured_exact_label,https://query.wikidata.org/
Makasi,electronic dance music,Wikidata SPARQL P136,structured_exact_label,https://query.wikidata.org/
Makasi,melodic house,Wikidata SPARQL P136,structured_exact_label,https://query.wikidata.org/
Mariana Bo,electronic dance music,MusicBrainz artist tag,community_tag_top_result,https://musicbrainz.org/doc/MusicBrainz_API
Mars,action film,Wikidata SPARQL P136,structured_exact_label,https://query.wikidata.org/
Mars,alternative rock,Wikidata SPARQL P136,structured_exact_label,https://query.wikidata.org/
Mars,anime,Wikidata SPARQL P136,structured_exact_label,https://query.wikidata.org/
Mars,biography,Wikidata SPARQL P136,structured_exact_label,https://query.wikidata.org/
Mars,comedy film,Wikidata SPARQL P136,structured_exact_label,https://query.wikidata.org/
Mars,docudrama,Wikidata SPARQL P136,structured_exact_label,https://query.wikidata.org/
Mars,drama fiction,Wikidata SPARQL P136,structured_exact_label,https://query.wikidata.org/
Mars,drama film,Wikidata SPARQL P136,structured_exact_label,https://query.wikidata.org/
Mars,electronica,Wikidata SPARQL P136,structured_exact_label,https://query.wikidata.org/
Mars,experimental rock,Wikidata SPARQL P136,structured_exact_label,https://query.wikidata.org/
Mars,hard rock,Wikidata SPARQL P136,structured_exact_label,https://query.wikidata.org/
Mars,horrorcore,Wikidata SPARQL P136,structured_exact_label,https://query.wikidata.org/
Mars,j-pop,Wikidata SPARQL P136,structured_exact_label,https://query.wikidata.org/
Mars,mythological painting,Wikidata SPARQL P136,structured_exact_label,https://query.wikidata.org/
Mars,noise music,Wikidata SPARQL P136,structured_exact_label,https://query.wikidata.org/
Mars,panel discussion,Wikidata SPARQL P136,structured_exact_label,https://query.wikidata.org/
Mars,pop rock,Wikidata SPARQL P136,structured_exact_label,https://query.wikidata.org/
Mars,popular science film,Wikidata SPARQL P136,structured_exact_label,https://query.wikidata.org/
Mars,portrait,Wikidata SPARQL P136,structured_exact_label,https://query.wikidata.org/
Mars,progressive rock,Wikidata SPARQL P136,structured_exact_label,https://query.wikidata.org/
Mars,punk rock,Wikidata SPARQL P136,structured_exact_label,https://query.wikidata.org/
Mars,rapping,Wikidata SPARQL P136,structured_exact_label,https://query.wikidata.org/
Mars,romance film,Wikidata SPARQL P136,structured_exact_label,https://query.wikidata.org/
Mars,romance manga,Wikidata SPARQL P136,structured_exact_label,https://query.wikidata.org/
Mars,school anime and manga,Wikidata SPARQL P136,structured_exact_label,https://query.wikidata.org/
Mars,science fiction,Wikidata SPARQL P136,structured_exact_label,https://query.wikidata.org/
Mars,science fiction comics,Wikidata SPARQL P136,structured_exact_label,https://query.wikidata.org/
Mars,science fiction film,Wikidata SPARQL P136,structured_exact_label,https://query.wikidata.org/
Mars,science fiction television program,Wikidata SPARQL P136,structured_exact_label,https://query.wikidata.org/
Mars,shoot 'em up,Wikidata SPARQL P136,structured_exact_label,https://query.wikidata.org/
Mars,speculative fiction film,Wikidata SPARQL P136,structured_exact_label,https://query.wikidata.org/
Mars,surrealist film,Wikidata SPARQL P136,structured_exact_label,https://query.wikidata.org/
Mars,tragicomedy,Wikidata SPARQL P136,structured_exact_label,https://query.wikidata.org/
Marten Hørger,electronic dance music,MusicBrainz artist tag,community_tag_top_result,https://musicbrainz.org/doc/MusicBrainz_API
Marten Lou,electronic dance music,MusicBrainz artist tag,community_tag_top_result,https://musicbrainz.org/doc/MusicBrainz_API
Marten Lou,house,MusicBrainz artist tag,community_tag_top_result,https://musicbrainz.org/doc/MusicBrainz_API
Martin Garrix,big room house,Wikidata SPARQL P136,structured_exact_label,https://query.wikidata.org/
Martin Garrix,deep house,Wikidata SPARQL P136,structured_exact_label,https://query.wikidata.org/
Martin Garrix,dutch house,Wikidata SPARQL P136,structured_exact_label,https://query.wikidata.org/
Martin Garrix,electro house,Wikidata SPARQL P136,structured_exact_label,https://query.wikidata.org/
Martin Garrix,electronic dance music,Wikidata SPARQL P136,structured_exact_label,https://query.wikidata.org/
Martin Garrix,future bass,Wikidata SPARQL P136,structured_exact_label,https://query.wikidata.org/
Martin Garrix,progressive house,Wikidata SPARQL P136,structured_exact_label,https://query.wikidata.org/
Massano,house,MusicBrainz artist tag,community_tag_top_result,https://musicbrainz.org/doc/MusicBrainz_API
Massano,melodic house,MusicBrainz artist tag,community_tag_top_result,https://musicbrainz.org/doc/MusicBrainz_API
Massano,melodic techno,MusicBrainz artist tag,community_tag_top_result,https://musicbrainz.org/doc/MusicBrainz_API
Mathame,melodic techno,Wikidata SPARQL P136,structured_exact_label,https://query.wikidata.org/
Matisse & Sadko,electro house,Wikidata SPARQL P136,structured_exact_label,https://query.wikidata.org/
Matisse & Sadko,progressive house,Wikidata SPARQL P136,structured_exact_label,https://query.wikidata.org/
Matroda,house,MusicBrainz artist tag,community_tag_top_result,https://musicbrainz.org/doc/MusicBrainz_API
Max Styler,tech house,MusicBrainz artist tag,community_tag_top_result,https://musicbrainz.org/doc/MusicBrainz_API
Maze,action game,Wikidata SPARQL P136,structured_exact_label,https://query.wikidata.org/
Maze,adventure video game,Wikidata SPARQL P136,structured_exact_label,https://query.wikidata.org/
Maze,drama film,Wikidata SPARQL P136,structured_exact_label,https://query.wikidata.org/
Maze,fantasy anime and manga,Wikidata SPARQL P136,structured_exact_label,https://query.wikidata.org/
Maze,historical film,Wikidata SPARQL P136,structured_exact_label,https://query.wikidata.org/
Maze,j-pop,Wikidata SPARQL P136,structured_exact_label,https://query.wikidata.org/
Maze,rhythm and blues,Wikidata SPARQL P136,structured_exact_label,https://query.wikidata.org/
Maze,solitaire,Wikidata SPARQL P136,structured_exact_label,https://query.wikidata.org/
Meduza,house music,Wikidata SPARQL P136,structured_exact_label,https://query.wikidata.org/
Mekkanikka,psytrance,MusicBrainz artist tag,community_tag_top_result,https://musicbrainz.org/doc/MusicBrainz_API
Metrik,drum and bass,Wikidata SPARQL P136,structured_exact_label,https://query.wikidata.org/
Mike Mago,deep house,Wikidata SPARQL P136,structured_exact_label,https://query.wikidata.org/
Mike Mago,electro house,Wikidata SPARQL P136,structured_exact_label,https://query.wikidata.org/
Mike Mago,house music,Wikidata SPARQL P136,structured_exact_label,https://query.wikidata.org/
